,req_info,req_id,t,pl_num
0,0,0,[0 0 0 0],13
1,1,0,[0 0 0 0],13
2,2,0,[0 0 0 0],13
3,3,0,[0 0 0 0],13
4,4,0,[0 0 0 0],13
5,5,0,[0 0 0 0],13
6,6,0,[0 0 0 0],13
7,7,400,[54  0  0  1],5
8,8,0,[0 0 0 0],13
9,9,0,[0 0 0 0],13
10,10,0,[0 0 0 0],13
11,11,401,[42  1  1  1],5
12,12,402,[119   0   0   2],12
13,13,0,[0 0 0 0],13
14,14,0,[0 0 0 0],13
15,15,0,[0 0 0 0],13
16,16,403,[40  0  0  1],5
17,17,0,[0 0 0 0],13
18,18,0,[0 0 0 0],13
19,19,0,[0 0 0 0],13
20,20,0,[0 0 0 0],13
21,21,0,[0 0 0 0],13
22,22,0,[0 0 0 0],13
23,23,0,[0 0 0 0],13
24,24,0,[0 0 0 0],13
25,25,0,[0 0 0 0],13
26,26,0,[0 0 0 0],13
27,27,0,[0 0 0 0],13
28,28,0,[576   0   1   0],12
29,29,0,[0 0 0 0],13
30,30,0,[0 0 0 0],13
31,31,0,[0 0 0 0],13
32,32,0,[0 0 0 0],13
33,33,0,[0 0 0 0],13
34,34,0,[0 0 0 0],13
35,35,0,[0 0 0 0],13
36,36,0,[0 0 0 0],13
37,37,0,[0 0 0 0],13
38,38,404,[72  0  1  2],12
39,39,0,[0 0 0 0],13
40,40,405,[68  0  1  2],2
41,41,0,[0 0 0 0],13
42,42,0,[0 0 0 0],13
43,43,0,[0 0 0 0],13
44,44,406,[3 1 1 1],5
45,45,0,[0 0 0 0],13
46,46,407,[54  0  0  1],5
47,47,0,[0 0 0 0],13
48,48,0,[0 0 0 0],13
49,49,0,[0 0 0 0],13
50,50,0,[0 0 0 0],13
51,51,0,[0 0 0 0],13
52,52,0,[0 0 0 0],13
53,53,0,[0 0 0 0],13
54,54,0,[0 0 0 0],13
55,55,0,[0 0 0 0],13
56,56,0,[0 0 0 0],13
57,57,0,[0 0 0 0],13
58,58,0,[0 0 0 0],13
59,59,0,[0 0 0 0],13
60,60,0,[0 0 0 0],13
61,61,0,[0 0 0 0],13
62,62,0,[0 0 0 0],13
63,63,0,[0 0 0 0],13
64,64,0,[0 0 0 0],13
65,65,0,[0 0 0 0],13
66,66,0,[0 0 0 0],13
67,67,0,[0 0 0 0],13
68,68,0,[0 0 0 0],13
69,69,0,[0 0 0 0],13
70,70,0,[0 0 0 0],13
71,71,0,[0 0 0 0],13
72,72,0,[0 0 0 0],13
73,73,0,[0 0 0 0],13
74,74,0,[0 0 0 0],13
75,75,0,[0 0 0 0],13
76,76,0,[0 0 0 0],13
77,77,0,[0 0 0 0],13
78,78,0,[0 0 0 0],13
79,79,0,[0 0 0 0],13
80,80,0,[0 0 0 0],13
81,81,0,[0 0 0 0],13
82,82,0,[0 0 0 0],13
83,83,0,[0 0 0 0],13
84,84,0,[0 0 0 0],13
85,85,408,[37  0  1  1],5
86,86,0,[0 0 0 0],13
87,87,0,[0 0 0 0],13
88,88,0,[0 0 0 0],13
89,89,0,[0 0 0 0],13
90,90,0,[0 0 0 0],13
91,91,1,[704   1   1   0],2
92,92,0,[0 0 0 0],13
93,93,0,[0 0 0 0],13
94,94,0,[0 0 0 0],13
95,95,0,[0 0 0 0],13
96,96,0,[0 0 0 0],13
97,97,0,[0 0 0 0],13
98,98,0,[0 0 0 0],13
99,99,0,[0 0 0 0],13
100,100,0,[0 0 0 0],13
101,101,0,[0 0 0 0],13
102,102,0,[0 0 0 0],13
103,103,0,[0 0 0 0],13
104,104,0,[0 0 0 0],13
105,105,0,[0 0 0 0],13
106,106,0,[0 0 0 0],13
107,107,0,[0 0 0 0],13
108,108,0,[0 0 0 0],13
109,109,0,[0 0 0 0],13
110,110,0,[0 0 0 0],13
111,111,0,[0 0 0 0],13
112,112,0,[0 0 0 0],13
113,113,0,[0 0 0 0],13
114,114,0,[0 0 0 0],13
115,115,0,[0 0 0 0],13
116,116,0,[0 0 0 0],13
117,117,2,[387   1   0   0],5
118,118,0,[0 0 0 0],13
119,119,0,[0 0 0 0],13
120,120,0,[0 0 0 0],13
121,121,0,[0 0 0 0],13
122,122,0,[0 0 0 0],13
123,123,0,[0 0 0 0],13
124,124,0,[0 0 0 0],13
125,125,0,[0 0 0 0],13
126,126,0,[0 0 0 0],13
127,127,0,[0 0 0 0],13
128,128,0,[0 0 0 0],13
129,129,0,[0 0 0 0],13
130,130,0,[0 0 0 0],13
131,131,0,[0 0 0 0],13
132,132,0,[0 0 0 0],13
133,133,0,[0 0 0 0],13
134,134,0,[0 0 0 0],13
135,135,0,[0 0 0 0],13
